コンボ数,ノーツ数,時間,時間差,ミタマ1,ミタマ2,ミタマ3,ミタマ4,ミタマ5,レベル,最大スコア,最適バースト位置
1,1,1.06,1.100000,0,0,0,0,0,32.0,0.0,0.0
2,1,1.09,0.050000,0,0,0,0,0,NaN,NaN,NaN
3,1,1.12,0.050000,0,0,0,0,0,NaN,NaN,NaN
5,2,1.15,0.050000,0,0,0,0,0,NaN,NaN,NaN
6,1,3.37,2.366667,0,0,0,0,0,NaN,NaN,NaN
7,1,3.42,0.083333,0,0,0,0,0,NaN,NaN,NaN
9,2,3.47,0.083333,0,0,0,0,0,NaN,NaN,NaN
11,2,5.02,1.250000,0,0,0,0,0,NaN,NaN,NaN
12,1,6.09,1.116667,0,0,0,0,0,NaN,NaN,NaN
13,1,6.12,0.050000,0,0,0,0,0,NaN,NaN,NaN
14,1,6.15,0.050000,0,0,0,0,0,NaN,NaN,NaN
16,2,6.18,0.050000,0,0,0,0,0,NaN,NaN,NaN
17,1,6.23,0.083333,0,0,0,0,0,NaN,NaN,NaN
18,1,6.28,0.083333,0,0,0,0,0,NaN,NaN,NaN
19,1,6.32,0.066667,0,0,0,0,0,NaN,NaN,NaN
20,1,6.37,0.083333,0,0,0,0,0,NaN,NaN,NaN
21,1,6.42,0.083333,0,0,0,0,0,NaN,NaN,NaN
22,1,6.47,0.083333,0,0,0,0,0,NaN,NaN,NaN
23,1,6.51,0.066667,0,0,0,0,0,NaN,NaN,NaN
24,1,6.56,0.083333,0,0,0,0,0,NaN,NaN,NaN
25,1,7.01,0.083333,0,0,0,0,0,NaN,NaN,NaN
26,1,7.06,0.083333,0,0,0,0,0,NaN,NaN,NaN
27,1,7.10,0.066667,0,0,0,0,0,NaN,NaN,NaN
28,1,7.15,0.083333,0,0,0,0,0,NaN,NaN,NaN
29,1,7.20,0.083333,0,0,0,0,0,NaN,NaN,NaN
30,1,7.25,0.083333,0,0,0,0,0,NaN,NaN,NaN
31,1,7.29,0.066667,0,0,0,0,0,NaN,NaN,NaN
32,1,7.34,0.083333,0,0,0,0,0,NaN,NaN,NaN
33,1,7.39,0.083333,0,0,0,0,0,NaN,NaN,NaN
34,1,7.43,0.066667,0,0,0,0,0,NaN,NaN,NaN
35,1,7.48,0.083333,0,0,0,0,0,NaN,NaN,NaN
36,1,7.53,0.083333,0,0,0,0,0,NaN,NaN,NaN
37,1,7.58,0.083333,0,0,0,0,0,NaN,NaN,NaN
38,1,8.02,0.066667,0,0,0,0,0,NaN,NaN,NaN
39,1,8.07,0.083333,0,0,0,0,0,NaN,NaN,NaN
40,1,8.12,0.083333,0,0,0,0,0,NaN,NaN,NaN
41,1,8.17,0.083333,0,0,0,0,0,NaN,NaN,NaN
42,1,8.21,0.066667,0,0,0,0,0,NaN,NaN,NaN
43,1,8.26,0.083333,0,0,0,0,0,NaN,NaN,NaN
44,1,8.31,0.083333,0,0,0,0,0,NaN,NaN,NaN
45,1,8.36,0.083333,0,0,0,0,0,NaN,NaN,NaN
46,1,8.40,0.066667,0,0,0,0,0,NaN,NaN,NaN
47,1,8.45,0.083333,0,0,0,0,0,NaN,NaN,NaN
49,2,8.50,0.083333,0,0,0,0,0,NaN,NaN,NaN
