コンボ数,ノーツ数,時間,時間差,ミタマ1,ミタマ2,ミタマ3,ミタマ4,ミタマ5,レベル,最大スコア,最適バースト位置
2,2,1.56,1.933333,0,0,0,0,0,25.0,0.0,0.0
3,1,2.06,0.166667,0,0,0,0,0,NaN,NaN,NaN
5,2,2.16,0.166667,0,0,0,0,0,NaN,NaN,NaN
7,2,2.35,0.316667,0,0,0,0,0,NaN,NaN,NaN
9,2,2.54,0.316667,0,0,0,0,0,NaN,NaN,NaN
10,1,3.04,0.166667,0,0,0,0,0,NaN,NaN,NaN
12,2,3.14,0.166667,0,0,0,0,0,NaN,NaN,NaN
14,2,3.33,0.316667,0,0,0,0,0,NaN,NaN,NaN
16,2,3.52,0.316667,0,0,0,0,0,NaN,NaN,NaN
17,1,4.02,0.166667,0,0,0,0,0,NaN,NaN,NaN
19,2,4.12,0.166667,0,0,0,0,0,NaN,NaN,NaN
21,2,4.31,0.316667,0,0,0,0,0,NaN,NaN,NaN
22,1,4.50,0.316667,0,0,0,0,0,NaN,NaN,NaN
23,1,5.00,0.166667,0,0,0,0,0,NaN,NaN,NaN
25,2,5.29,0.483333,0,0,0,0,0,NaN,NaN,NaN
27,2,5.48,0.316667,0,0,0,0,0,NaN,NaN,NaN
28,1,5.58,0.166667,0,0,0,0,0,NaN,NaN,NaN
30,2,6.08,0.166667,0,0,0,0,0,NaN,NaN,NaN
32,2,6.27,0.316667,0,0,0,0,0,NaN,NaN,NaN
34,2,6.47,0.333333,0,0,0,0,0,NaN,NaN,NaN
35,1,6.56,0.150000,0,0,0,0,0,NaN,NaN,NaN
37,2,7.06,0.166667,0,0,0,0,0,NaN,NaN,NaN
39,2,7.25,0.316667,0,0,0,0,0,NaN,NaN,NaN
41,2,7.45,0.333333,0,0,0,0,0,NaN,NaN,NaN
42,1,7.54,0.150000,0,0,0,0,0,NaN,NaN,NaN
44,2,8.04,0.166667,0,0,0,0,0,NaN,NaN,NaN
46,2,8.23,0.316667,0,0,0,0,0,NaN,NaN,NaN
48,2,8.43,0.333333,0,0,0,0,0,NaN,NaN,NaN
49,1,8.52,0.150000,0,0,0,0,0,NaN,NaN,NaN
50,1,9.02,0.166667,0,0,0,0,0,NaN,NaN,NaN
51,1,9.12,0.166667,0,0,0,0,0,NaN,NaN,NaN
52,1,9.21,0.150000,0,0,0,0,0,NaN,NaN,NaN
53,1,9.31,0.166667,0,0,0,0,0,NaN,NaN,NaN
55,2,9.41,0.166667,0,0,0,0,0,NaN,NaN,NaN
56,1,9.50,0.150000,0,0,0,0,0,NaN,NaN,NaN
58,2,10.00,0.166667,0,0,0,0,0,NaN,NaN,NaN
59,1,10.10,0.166667,0,0,0,0,0,NaN,NaN,NaN
61,2,10.19,0.150000,0,0,0,0,0,NaN,NaN,NaN
63,2,10.39,0.333333,0,0,0,0,0,NaN,NaN,NaN
64,1,10.48,0.150000,0,0,0,0,0,NaN,NaN,NaN
66,2,10.58,0.166667,0,0,0,0,0,NaN,NaN,NaN
67,1,11.08,0.166667,0,0,0,0,0,NaN,NaN,NaN
