コンボ数,ノーツ数,時間,時間差,ミタマ1,ミタマ2,ミタマ3,ミタマ4,ミタマ5,レベル,最大スコア,最適バースト位置
1,1,1.48,1.800000,0,0,0,0,0,26.0,0.0,0.0
2,1,1.55,0.116667,0,0,0,0,0,NaN,NaN,NaN
3,1,2.02,0.116667,0,0,0,0,0,NaN,NaN,NaN
4,1,2.09,0.116667,0,0,0,0,0,NaN,NaN,NaN
5,1,2.16,0.116667,0,0,0,0,0,NaN,NaN,NaN
6,1,2.29,0.216667,0,0,0,0,0,NaN,NaN,NaN
7,1,2.43,0.233333,0,0,0,0,0,NaN,NaN,NaN
8,1,2.50,0.116667,0,0,0,0,0,NaN,NaN,NaN
9,1,2.57,0.116667,0,0,0,0,0,NaN,NaN,NaN
10,1,3.03,0.100000,0,0,0,0,0,NaN,NaN,NaN
11,1,3.10,0.116667,0,0,0,0,0,NaN,NaN,NaN
12,1,3.24,0.233333,0,0,0,0,0,NaN,NaN,NaN
13,1,3.37,0.216667,0,0,0,0,0,NaN,NaN,NaN
14,1,3.44,0.116667,0,0,0,0,0,NaN,NaN,NaN
15,1,3.51,0.116667,0,0,0,0,0,NaN,NaN,NaN
16,1,3.58,0.116667,0,0,0,0,0,NaN,NaN,NaN
17,1,4.05,0.116667,0,0,0,0,0,NaN,NaN,NaN
18,1,4.12,0.116667,0,0,0,0,0,NaN,NaN,NaN
19,1,4.18,0.100000,0,0,0,0,0,NaN,NaN,NaN
20,1,4.25,0.116667,0,0,0,0,0,NaN,NaN,NaN
21,1,4.32,0.116667,0,0,0,0,0,NaN,NaN,NaN
22,1,4.39,0.116667,0,0,0,0,0,NaN,NaN,NaN
23,1,4.46,0.116667,0,0,0,0,0,NaN,NaN,NaN
24,1,4.52,0.100000,0,0,0,0,0,NaN,NaN,NaN
25,1,4.59,0.116667,0,0,0,0,0,NaN,NaN,NaN
26,1,5.06,0.116667,0,0,0,0,0,NaN,NaN,NaN
27,1,5.13,0.116667,0,0,0,0,0,NaN,NaN,NaN
28,1,5.20,0.116667,0,0,0,0,0,NaN,NaN,NaN
29,1,5.27,0.116667,0,0,0,0,0,NaN,NaN,NaN
30,1,5.33,0.100000,0,0,0,0,0,NaN,NaN,NaN
31,1,5.40,0.116667,0,0,0,0,0,NaN,NaN,NaN
32,1,5.47,0.116667,0,0,0,0,0,NaN,NaN,NaN
33,1,5.54,0.116667,0,0,0,0,0,NaN,NaN,NaN
34,1,6.07,0.216667,0,0,0,0,0,NaN,NaN,NaN
