コンボ数,ノーツ数,時間,時間差,ミタマ1,ミタマ2,ミタマ3,ミタマ4,ミタマ5,レベル,最大スコア,最適バースト位置
2,2,1.35,1.583333,0,0,0,0,0,25.0,0.0,0.0
3,1,1.58,0.383333,0,0,0,0,0,NaN,NaN,NaN
4,1,2.16,0.300000,0,0,0,0,0,NaN,NaN,NaN
6,2,2.22,0.100000,0,0,0,0,0,NaN,NaN,NaN
7,1,2.28,0.100000,0,0,0,0,0,NaN,NaN,NaN
8,1,2.34,0.100000,0,0,0,0,0,NaN,NaN,NaN
10,2,2.46,0.200000,0,0,0,0,0,NaN,NaN,NaN
12,2,2.58,0.200000,0,0,0,0,0,NaN,NaN,NaN
14,2,3.09,0.183333,0,0,0,0,0,NaN,NaN,NaN
16,2,3.33,0.400000,0,0,0,0,0,NaN,NaN,NaN
17,1,3.51,0.300000,0,0,0,0,0,NaN,NaN,NaN
19,2,3.57,0.100000,0,0,0,0,0,NaN,NaN,NaN
20,1,4.03,0.100000,0,0,0,0,0,NaN,NaN,NaN
22,2,4.09,0.100000,0,0,0,0,0,NaN,NaN,NaN
24,2,4.20,0.183333,0,0,0,0,0,NaN,NaN,NaN
26,2,4.44,0.400000,0,0,0,0,0,NaN,NaN,NaN
27,1,5.08,0.400000,0,0,0,0,0,NaN,NaN,NaN
28,1,5.20,0.200000,0,0,0,0,0,NaN,NaN,NaN
29,1,5.26,0.100000,0,0,0,0,0,NaN,NaN,NaN
30,1,5.31,0.083333,0,0,0,0,0,NaN,NaN,NaN
31,1,5.37,0.100000,0,0,0,0,0,NaN,NaN,NaN
32,1,5.43,0.100000,0,0,0,0,0,NaN,NaN,NaN
34,2,5.55,0.200000,0,0,0,0,0,NaN,NaN,NaN
36,2,6.19,0.400000,0,0,0,0,0,NaN,NaN,NaN
37,1,6.43,0.400000,0,0,0,0,0,NaN,NaN,NaN
38,1,6.54,0.183333,0,0,0,0,0,NaN,NaN,NaN
39,1,7.00,0.100000,0,0,0,0,0,NaN,NaN,NaN
40,1,7.06,0.100000,0,0,0,0,0,NaN,NaN,NaN
41,1,7.12,0.100000,0,0,0,0,0,NaN,NaN,NaN
42,1,7.18,0.100000,0,0,0,0,0,NaN,NaN,NaN
44,2,7.30,0.200000,0,0,0,0,0,NaN,NaN,NaN
46,2,7.54,0.400000,0,0,0,0,0,NaN,NaN,NaN
47,1,8.17,0.383333,0,0,0,0,0,NaN,NaN,NaN
48,1,8.35,0.300000,0,0,0,0,0,NaN,NaN,NaN
50,2,8.41,0.100000,0,0,0,0,0,NaN,NaN,NaN
51,1,8.47,0.100000,0,0,0,0,0,NaN,NaN,NaN
52,1,8.53,0.100000,0,0,0,0,0,NaN,NaN,NaN
54,2,9.05,0.200000,0,0,0,0,0,NaN,NaN,NaN
56,2,9.16,0.183333,0,0,0,0,0,NaN,NaN,NaN
58,2,9.28,0.200000,0,0,0,0,0,NaN,NaN,NaN
60,2,9.52,0.400000,0,0,0,0,0,NaN,NaN,NaN
61,1,10.10,0.300000,0,0,0,0,0,NaN,NaN,NaN
63,2,10.16,0.100000,0,0,0,0,0,NaN,NaN,NaN
64,1,10.22,0.100000,0,0,0,0,0,NaN,NaN,NaN
65,1,10.28,0.100000,0,0,0,0,0,NaN,NaN,NaN
67,2,10.39,0.183333,0,0,0,0,0,NaN,NaN,NaN
69,2,10.51,0.200000,0,0,0,0,0,NaN,NaN,NaN
71,2,11.03,0.200000,0,0,0,0,0,NaN,NaN,NaN
72,1,11.27,0.400000,0,0,0,0,0,NaN,NaN,NaN
74,2,11.39,0.200000,0,0,0,0,0,NaN,NaN,NaN
75,1,12.02,0.383333,0,0,0,0,0,NaN,NaN,NaN
77,2,12.14,0.200000,0,0,0,0,0,NaN,NaN,NaN
78,1,12.38,0.400000,0,0,0,0,0,NaN,NaN,NaN
79,1,13.01,0.383333,0,0,0,0,0,NaN,NaN,NaN
80,1,13.07,0.100000,0,0,0,0,0,NaN,NaN,NaN
81,1,13.25,0.300000,0,0,0,0,0,NaN,NaN,NaN
82,1,13.31,0.100000,0,0,0,0,0,NaN,NaN,NaN
83,1,13.37,0.100000,0,0,0,0,0,NaN,NaN,NaN
84,1,13.43,0.100000,0,0,0,0,0,NaN,NaN,NaN
86,2,13.49,0.100000,0,0,0,0,0,NaN,NaN,NaN
87,1,13.55,0.100000,0,0,0,0,0,NaN,NaN,NaN
88,1,14.01,0.100000,0,0,0,0,0,NaN,NaN,NaN
90,2,14.13,0.200000,0,0,0,0,0,NaN,NaN,NaN
91,1,14.36,0.383333,0,0,0,0,0,NaN,NaN,NaN
92,1,14.54,0.300000,0,0,0,0,0,NaN,NaN,NaN
94,2,15.00,0.100000,0,0,0,0,0,NaN,NaN,NaN
95,1,15.06,0.100000,0,0,0,0,0,NaN,NaN,NaN
96,1,15.12,0.100000,0,0,0,0,0,NaN,NaN,NaN
98,2,15.24,0.200000,0,0,0,0,0,NaN,NaN,NaN
100,2,15.35,0.183333,0,0,0,0,0,NaN,NaN,NaN
102,2,15.47,0.200000,0,0,0,0,0,NaN,NaN,NaN
104,2,16.11,0.400000,0,0,0,0,0,NaN,NaN,NaN
105,1,16.29,0.300000,0,0,0,0,0,NaN,NaN,NaN
107,2,16.35,0.100000,0,0,0,0,0,NaN,NaN,NaN
108,1,16.41,0.100000,0,0,0,0,0,NaN,NaN,NaN
110,2,16.46,0.083333,0,0,0,0,0,NaN,NaN,NaN
112,2,16.58,0.200000,0,0,0,0,0,NaN,NaN,NaN
114,2,17.22,0.400000,0,0,0,0,0,NaN,NaN,NaN
115,1,17.46,0.400000,0,0,0,0,0,NaN,NaN,NaN
116,1,18.03,0.283333,0,0,0,0,0,NaN,NaN,NaN
118,2,18.09,0.100000,0,0,0,0,0,NaN,NaN,NaN
119,1,18.15,0.100000,0,0,0,0,0,NaN,NaN,NaN
120,1,18.21,0.100000,0,0,0,0,0,NaN,NaN,NaN
121,1,18.27,0.100000,0,0,0,0,0,NaN,NaN,NaN
122,1,18.33,0.100000,0,0,0,0,0,NaN,NaN,NaN
123,1,18.45,0.200000,0,0,0,0,0,NaN,NaN,NaN
125,2,18.57,0.200000,0,0,0,0,0,NaN,NaN,NaN
127,2,19.20,0.383333,0,0,0,0,0,NaN,NaN,NaN
128,1,19.38,0.300000,0,0,0,0,0,NaN,NaN,NaN
130,2,19.44,0.100000,0,0,0,0,0,NaN,NaN,NaN
131,1,19.50,0.100000,0,0,0,0,0,NaN,NaN,NaN
132,1,19.56,0.100000,0,0,0,0,0,NaN,NaN,NaN
134,2,20.08,0.200000,0,0,0,0,0,NaN,NaN,NaN
136,2,20.31,0.383333,0,0,0,0,0,NaN,NaN,NaN
137,1,20.55,0.400000,0,0,0,0,0,NaN,NaN,NaN
138,1,21.13,0.300000,0,0,0,0,0,NaN,NaN,NaN
140,2,21.19,0.100000,0,0,0,0,0,NaN,NaN,NaN
141,1,21.25,0.100000,0,0,0,0,0,NaN,NaN,NaN
142,1,21.31,0.100000,0,0,0,0,0,NaN,NaN,NaN
144,2,21.42,0.183333,0,0,0,0,0,NaN,NaN,NaN
146,2,21.54,0.200000,0,0,0,0,0,NaN,NaN,NaN
148,2,22.06,0.200000,0,0,0,0,0,NaN,NaN,NaN
150,2,22.30,0.400000,0,0,0,0,0,NaN,NaN,NaN
151,1,22.48,0.300000,0,0,0,0,0,NaN,NaN,NaN
152,1,22.54,0.100000,0,0,0,0,0,NaN,NaN,NaN
153,1,22.59,0.083333,0,0,0,0,0,NaN,NaN,NaN
155,2,23.05,0.100000,0,0,0,0,0,NaN,NaN,NaN
157,2,23.17,0.200000,0,0,0,0,0,NaN,NaN,NaN
158,1,23.29,0.200000,0,0,0,0,0,NaN,NaN,NaN
159,1,23.41,0.200000,0,0,0,0,0,NaN,NaN,NaN
160,1,24.05,0.400000,0,0,0,0,0,NaN,NaN,NaN
162,2,24.16,0.183333,0,0,0,0,0,NaN,NaN,NaN
163,1,24.40,0.400000,0,0,0,0,0,NaN,NaN,NaN
165,2,24.52,0.200000,0,0,0,0,0,NaN,NaN,NaN
167,2,25.16,0.400000,0,0,0,0,0,NaN,NaN,NaN
169,2,25.27,0.183333,0,0,0,0,0,NaN,NaN,NaN
171,2,25.39,0.200000,0,0,0,0,0,NaN,NaN,NaN
172,1,25.51,0.200000,0,0,0,0,0,NaN,NaN,NaN
174,2,26.03,0.200000,0,0,0,0,0,NaN,NaN,NaN
176,2,26.15,0.200000,0,0,0,0,0,NaN,NaN,NaN
178,2,26.27,0.200000,0,0,0,0,0,NaN,NaN,NaN
180,2,26.33,0.100000,0,0,0,0,0,NaN,NaN,NaN
182,2,26.39,0.100000,0,0,0,0,0,NaN,NaN,NaN
183,1,26.44,0.083333,0,0,0,0,0,NaN,NaN,NaN
185,2,26.50,0.100000,0,0,0,0,0,NaN,NaN,NaN
186,1,27.14,0.400000,0,0,0,0,0,NaN,NaN,NaN
187,1,27.32,0.300000,0,0,0,0,0,NaN,NaN,NaN
188,1,27.38,0.100000,0,0,0,0,0,NaN,NaN,NaN
189,1,27.44,0.100000,0,0,0,0,0,NaN,NaN,NaN
190,1,27.50,0.100000,0,0,0,0,0,NaN,NaN,NaN
191,1,28.01,0.183333,0,0,0,0,0,NaN,NaN,NaN
192,1,28.25,0.400000,0,0,0,0,0,NaN,NaN,NaN
194,2,28.49,0.400000,0,0,0,0,0,NaN,NaN,NaN
195,1,29.01,0.200000,0,0,0,0,0,NaN,NaN,NaN
196,1,29.07,0.100000,0,0,0,0,0,NaN,NaN,NaN
198,2,29.12,0.083333,0,0,0,0,0,NaN,NaN,NaN
199,1,29.18,0.100000,0,0,0,0,0,NaN,NaN,NaN
201,2,29.24,0.100000,0,0,0,0,0,NaN,NaN,NaN
203,2,29.36,0.200000,0,0,0,0,0,NaN,NaN,NaN
204,1,29.48,0.200000,0,0,0,0,0,NaN,NaN,NaN
206,2,30.00,0.200000,0,0,0,0,0,NaN,NaN,NaN
207,1,30.24,0.400000,0,0,0,0,0,NaN,NaN,NaN
208,1,30.41,0.283333,0,0,0,0,0,NaN,NaN,NaN
209,1,30.47,0.100000,0,0,0,0,0,NaN,NaN,NaN
210,1,30.53,0.100000,0,0,0,0,0,NaN,NaN,NaN
211,1,30.59,0.100000,0,0,0,0,0,NaN,NaN,NaN
212,1,31.11,0.200000,0,0,0,0,0,NaN,NaN,NaN
213,1,31.35,0.400000,0,0,0,0,0,NaN,NaN,NaN
214,1,31.58,0.383333,0,0,0,0,0,NaN,NaN,NaN
215,1,32.16,0.300000,0,0,0,0,0,NaN,NaN,NaN
216,1,32.22,0.100000,0,0,0,0,0,NaN,NaN,NaN
217,1,32.28,0.100000,0,0,0,0,0,NaN,NaN,NaN
218,1,32.34,0.100000,0,0,0,0,0,NaN,NaN,NaN
219,1,32.46,0.200000,0,0,0,0,0,NaN,NaN,NaN
221,2,33.09,0.383333,0,0,0,0,0,NaN,NaN,NaN
222,1,33.33,0.400000,0,0,0,0,0,NaN,NaN,NaN
223,1,33.51,0.300000,0,0,0,0,0,NaN,NaN,NaN
224,1,33.57,0.100000,0,0,0,0,0,NaN,NaN,NaN
225,1,34.03,0.100000,0,0,0,0,0,NaN,NaN,NaN
226,1,34.09,0.100000,0,0,0,0,0,NaN,NaN,NaN
227,1,34.20,0.183333,0,0,0,0,0,NaN,NaN,NaN
228,1,34.44,0.400000,0,0,0,0,0,NaN,NaN,NaN
230,2,35.08,0.400000,0,0,0,0,0,NaN,NaN,NaN
231,1,35.20,0.200000,0,0,0,0,0,NaN,NaN,NaN
232,1,35.26,0.100000,0,0,0,0,0,NaN,NaN,NaN
234,2,35.31,0.083333,0,0,0,0,0,NaN,NaN,NaN
235,1,35.37,0.100000,0,0,0,0,0,NaN,NaN,NaN
237,2,35.43,0.100000,0,0,0,0,0,NaN,NaN,NaN
239,2,35.55,0.200000,0,0,0,0,0,NaN,NaN,NaN
240,1,36.07,0.200000,0,0,0,0,0,NaN,NaN,NaN
242,2,36.19,0.200000,0,0,0,0,0,NaN,NaN,NaN
243,1,36.42,0.383333,0,0,0,0,0,NaN,NaN,NaN
245,2,36.54,0.200000,0,0,0,0,0,NaN,NaN,NaN
246,1,37.18,0.400000,0,0,0,0,0,NaN,NaN,NaN
248,2,37.30,0.200000,0,0,0,0,0,NaN,NaN,NaN
249,1,38.17,0.783333,0,0,0,0,0,NaN,NaN,NaN
250,1,38.23,0.100000,0,0,0,0,0,NaN,NaN,NaN
251,1,38.41,0.300000,0,0,0,0,0,NaN,NaN,NaN
252,1,38.47,0.100000,0,0,0,0,0,NaN,NaN,NaN
253,1,38.53,0.100000,0,0,0,0,0,NaN,NaN,NaN
254,1,38.59,0.100000,0,0,0,0,0,NaN,NaN,NaN
256,2,39.05,0.100000,0,0,0,0,0,NaN,NaN,NaN
257,1,39.11,0.100000,0,0,0,0,0,NaN,NaN,NaN
259,2,39.16,0.083333,0,0,0,0,0,NaN,NaN,NaN
261,2,39.28,0.200000,0,0,0,0,0,NaN,NaN,NaN
262,1,39.52,0.400000,0,0,0,0,0,NaN,NaN,NaN
263,1,40.10,0.300000,0,0,0,0,0,NaN,NaN,NaN
264,1,40.16,0.100000,0,0,0,0,0,NaN,NaN,NaN
265,1,40.22,0.100000,0,0,0,0,0,NaN,NaN,NaN
266,1,40.27,0.083333,0,0,0,0,0,NaN,NaN,NaN
267,1,40.39,0.200000,0,0,0,0,0,NaN,NaN,NaN
268,1,41.03,0.400000,0,0,0,0,0,NaN,NaN,NaN
270,2,41.27,0.400000,0,0,0,0,0,NaN,NaN,NaN
271,1,41.39,0.200000,0,0,0,0,0,NaN,NaN,NaN
272,1,41.44,0.083333,0,0,0,0,0,NaN,NaN,NaN
274,2,41.50,0.100000,0,0,0,0,0,NaN,NaN,NaN
275,1,41.56,0.100000,0,0,0,0,0,NaN,NaN,NaN
277,2,42.02,0.100000,0,0,0,0,0,NaN,NaN,NaN
279,2,42.14,0.200000,0,0,0,0,0,NaN,NaN,NaN
280,1,42.26,0.200000,0,0,0,0,0,NaN,NaN,NaN
282,2,42.38,0.200000,0,0,0,0,0,NaN,NaN,NaN
283,1,43.01,0.383333,0,0,0,0,0,NaN,NaN,NaN
284,1,43.19,0.300000,0,0,0,0,0,NaN,NaN,NaN
286,2,43.25,0.100000,0,0,0,0,0,NaN,NaN,NaN
287,1,43.31,0.100000,0,0,0,0,0,NaN,NaN,NaN
288,1,43.37,0.100000,0,0,0,0,0,NaN,NaN,NaN
289,1,43.43,0.100000,0,0,0,0,0,NaN,NaN,NaN
290,1,43.49,0.100000,0,0,0,0,0,NaN,NaN,NaN
291,1,44.01,0.200000,0,0,0,0,0,NaN,NaN,NaN
293,2,44.12,0.183333,0,0,0,0,0,NaN,NaN,NaN
295,2,44.36,0.400000,0,0,0,0,0,NaN,NaN,NaN
296,1,44.54,0.300000,0,0,0,0,0,NaN,NaN,NaN
298,2,45.00,0.100000,0,0,0,0,0,NaN,NaN,NaN
299,1,45.06,0.100000,0,0,0,0,0,NaN,NaN,NaN
300,1,45.12,0.100000,0,0,0,0,0,NaN,NaN,NaN
302,2,45.24,0.200000,0,0,0,0,0,NaN,NaN,NaN
304,2,45.47,0.383333,0,0,0,0,0,NaN,NaN,NaN
305,1,46.11,0.400000,0,0,0,0,0,NaN,NaN,NaN
306,1,46.29,0.300000,0,0,0,0,0,NaN,NaN,NaN
307,1,46.35,0.100000,0,0,0,0,0,NaN,NaN,NaN
308,1,46.41,0.100000,0,0,0,0,0,NaN,NaN,NaN
309,1,46.46,0.083333,0,0,0,0,0,NaN,NaN,NaN
310,1,46.58,0.200000,0,0,0,0,0,NaN,NaN,NaN
311,1,47.10,0.200000,0,0,0,0,0,NaN,NaN,NaN
312,1,47.22,0.200000,0,0,0,0,0,NaN,NaN,NaN
314,2,47.46,0.400000,0,0,0,0,0,NaN,NaN,NaN
315,1,47.57,0.183333,0,0,0,0,0,NaN,NaN,NaN
317,2,48.09,0.200000,0,0,0,0,0,NaN,NaN,NaN
318,1,48.21,0.200000,0,0,0,0,0,NaN,NaN,NaN
320,2,48.33,0.200000,0,0,0,0,0,NaN,NaN,NaN
322,2,48.57,0.400000,0,0,0,0,0,NaN,NaN,NaN
323,1,49.09,0.200000,0,0,0,0,0,NaN,NaN,NaN
324,1,49.20,0.183333,0,0,0,0,0,NaN,NaN,NaN
325,1,49.32,0.200000,0,0,0,0,0,NaN,NaN,NaN
326,1,49.44,0.200000,0,0,0,0,0,NaN,NaN,NaN
327,1,49.56,0.200000,0,0,0,0,0,NaN,NaN,NaN
328,1,50.08,0.200000,0,0,0,0,0,NaN,NaN,NaN
330,2,50.20,0.200000,0,0,0,0,0,NaN,NaN,NaN
332,2,50.31,0.183333,0,0,0,0,0,NaN,NaN,NaN
333,1,50.37,0.100000,0,0,0,0,0,NaN,NaN,NaN
334,1,50.55,0.300000,0,0,0,0,0,NaN,NaN,NaN
335,1,51.01,0.100000,0,0,0,0,0,NaN,NaN,NaN
336,1,51.19,0.300000,0,0,0,0,0,NaN,NaN,NaN
337,1,51.25,0.100000,0,0,0,0,0,NaN,NaN,NaN
338,1,51.42,0.283333,0,0,0,0,0,NaN,NaN,NaN
339,1,51.48,0.100000,0,0,0,0,0,NaN,NaN,NaN
341,2,52.06,0.300000,0,0,0,0,0,NaN,NaN,NaN
343,2,52.54,0.800000,0,0,0,0,0,NaN,NaN,NaN
345,2,53.11,0.283333,0,0,0,0,0,NaN,NaN,NaN
347,2,53.29,0.300000,0,0,0,0,0,NaN,NaN,NaN
349,2,53.41,0.200000,0,0,0,0,0,NaN,NaN,NaN
351,2,54.05,0.400000,0,0,0,0,0,NaN,NaN,NaN
353,2,54.28,0.383333,0,0,0,0,0,NaN,NaN,NaN
355,2,54.52,0.400000,0,0,0,0,0,NaN,NaN,NaN
357,2,55.04,0.200000,0,0,0,0,0,NaN,NaN,NaN
359,2,55.16,0.200000,0,0,0,0,0,NaN,NaN,NaN
361,2,55.39,0.383333,0,0,0,0,0,NaN,NaN,NaN
363,2,56.03,0.400000,0,0,0,0,0,NaN,NaN,NaN
365,2,56.27,0.400000,0,0,0,0,0,NaN,NaN,NaN
367,2,56.50,0.383333,0,0,0,0,0,NaN,NaN,NaN
369,2,56.56,0.100000,0,0,0,0,0,NaN,NaN,NaN
