コンボ数,ノーツ
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,2
9,0
10,2
11,2
12,0
13,2
14,0
15,2
16,2
17,2
18,2
19,0
20,2
21,2
22,0
23,2
24,2
25,0
26,2
27,0
28,2
29,2
30,0
31,2
32,2
33,0
34,2
35,2
36,0
37,2
38,0
39,2
40,2
41,2
42,2
43,0
44,2
45,2
46,2
47,2
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,2
61,2
62,0
63,2
64,0
65,2
66,1
67,0
68,1
69,2
70,1
71,2
72,0
73,0
74,2
75,0
76,2
77,2
78,2
79,0
80,1
81,0
82,2
83,1
84,2
85,1
86,0
87,0
88,2
89,2
90,0
91,2
92,0
93,2
94,1
95,0
96,1
97,2
98,1
99,2
100,0
101,0
102,2
103,2
104,2
105,2
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,2
125,0
126,0
127,2
128,2
129,0
130,2
131,2
132,0
133,2
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,2
151,0
152,0
153,2
154,0
155,0
156,0
157,0
158,0
159,2
160,0
161,0
162,0
163,2
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,2
179,0
180,2
181,0
182,0
183,2
184,0
185,2
186,2
187,0
188,2
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,2
213,2
214,2
215,2
216,2
217,0
218,2
219,0
220,0
221,0
222,0
223,2
224,0
225,2
226,0
227,0
228,2
229,0
230,2
231,0
232,2
233,0
234,0
235,0
236,0
237,0
238,0
239,2
240,0
241,2
242,0
243,2
244,2
245,2
246,2
247,2
248,2
249,0
250,0
251,0
252,0
253,2
254,2
255,2
256,2
257,0
258,0
259,2
260,0
261,2
262,0
263,2
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,2
274,2
275,2
276,2
277,2
278,0
279,2
280,0
281,0
282,0
283,0
284,0
285,2
286,0
287,2
288,0
289,2
290,2
291,0
292,2
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,2
301,0
302,2
303,0
304,2
305,2
306,2
307,2
308,2
309,2
310,0
311,0
312,0
313,0
314,0
315,2
316,1
317,2
318,1
319,2
320,1
321,2
322,2
323,2
324,2
325,2
326,2
327,2
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,2
348,2
349,2
350,2
351,2
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,2
363,2
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,2
372,2
373,2
374,2
375,2
376,2
377,2
378,2
379,2
380,2
381,0
382,1
383,1
384,0
385,1
386,0
387,0
388,1
389,1
390,0
391,2
392,1
393,2
394,0
395,0
396,2
397,0
398,2
399,0
400,0
401,0
402,0
403,0
404,2
405,0
406,0
407,2
408,0
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,2
424,0
425,2
426,0
427,0
428,2
429,0
430,0
431,0
432,0
433,2
434,0
435,2
436,0
437,0
438,0
439,0
440,0
441,0
442,2
443,0
444,0
445,0
446,0
447,2
448,0
449,0
450,2
451,0
452,2
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,2
463,0
464,0
465,0
466,0
467,0
468,0
469,2
470,0
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,2
486,0
487,0
488,2
489,0
490,0
491,2
492,0
493,0
494,0
495,0
496,1
497,2
498,0
499,0
500,1
501,0
502,2
503,0
504,2
505,0
506,0
507,2
508,0
509,2
510,2
511,0
512,2
513,0
514,0
515,0
516,0
517,0
518,0
519,1
520,0
521,0
522,0
523,0
524,0
525,0
526,1
527,0
528,0
529,0
530,0
531,0
532,0
533,2
534,0
535,2
536,0
537,2
538,2
539,0
540,0
541,2
542,0
543,2
544,2
545,2
546,2
547,0
548,2
549,2
550,0
551,2
552,0
553,2
554,0
555,0
556,0
557,0
558,0
559,0
560,2
561,0
562,2
563,0
564,2
565,2
566,1
567,0
568,2
569,1
570,2
571,0
572,2
573,2
574,1
575,0
576,2
577,1
578,2
579,0
580,2
581,0
582,2
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,2
594,2
595,0
596,0
597,2
598,0
599,2
600,0
