コンボ数,ノーツ
1,0
2,2
3,0
4,2
5,2
6,0
7,2
8,2
9,2
10,0
11,2
12,1
13,2
14,1
15,0
16,2
17,0
18,0
19,2
20,2
21,0
22,2
23,2
24,2
25,2
26,0
27,2
28,1
29,1
30,0
31,1
32,2
33,0
34,0
35,2
36,2
37,0
38,2
39,2
40,2
41,2
42,0
43,2
44,1
45,0
46,1
47,0
48,2
49,0
50,2
51,2
52,0
53,2
54,2
55,2
56,0
57,2
58,1
59,2
60,1
61,1
62,0
63,2
64,0
65,2
66,0
67,2
68,1
69,2
70,0
71,2
72,0
73,2
74,2
75,0
76,2
77,1
78,2
79,1
80,0
81,2
82,0
83,2
84,1
85,2
86,0
87,2
88,0
89,2
90,2
91,0
92,2
93,1
94,2
95,1
96,2
97,2
98,0
99,2
100,0
101,2
102,1
103,2
104,0
105,2
106,0
107,2
108,2
109,0
110,2
111,1
112,2
113,1
114,0
115,2
116,0
117,2
118,1
119,2
120,0
121,2
122,0
123,0
124,0
125,0
126,0
127,0
128,2
129,0
130,2
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,2
139,0
140,0
141,2
142,2
143,0
144,2
145,2
146,0
147,0
148,2
149,0
150,2
151,2
152,0
153,2
154,0
155,2
156,2
157,2
158,0
159,2
160,0
161,2
162,2
163,2
164,0
165,0
166,0
167,2
168,0
169,2
170,1
171,2
172,1
173,1
174,0
175,1
176,1
177,0
178,1
179,0
180,0
181,2
182,0
183,2
184,0
185,2
186,2
187,0
188,2
189,0
190,2
191,0
192,2
193,0
194,2
195,0
196,2
197,0
198,2
199,0
200,0
201,0
202,2
203,0
204,2
205,0
206,2
207,0
208,2
209,0
210,2
211,2
212,0
213,2
214,0
215,2
216,1
217,1
218,2
219,1
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,0
237,2
238,1
239,2
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,2
249,0
250,2
251,2
252,0
253,2
254,2
255,0
256,2
257,2
258,0
259,2
260,0
261,0
262,2
263,2
264,2
265,0
266,2
267,0
268,2
269,2
270,2
271,0
272,2
273,0
274,2
275,0
276,1
277,0
278,2
279,2
280,2
281,0
282,1
283,2
284,2
285,0
286,2
287,0
288,1
289,2
290,0
291,2
292,2
293,2
294,2
295,2
296,2
297,2
298,0
299,2
300,2
301,0
302,2
303,2
304,0
305,0
306,2
307,0
308,0
309,0
310,0
311,2
312,0
313,2
314,2
315,0
316,2
317,2
318,0
319,2
320,2
321,0
322,2
323,0
324,0
325,0
326,0
327,1
328,1
329,0
330,1
331,0
332,0
333,0
334,1
335,1
336,1
337,0
338,1
339,1
340,0
341,1
342,1
343,1
344,1
345,0
346,0
347,0
348,0
349,0
350,0
351,2
352,1
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,1
363,1
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,2
372,2
373,1
374,2
375,2
376,1
377,2
378,2
379,0
380,2
381,2
382,1
383,2
384,2
385,0
386,2
387,2
388,1
389,2
390,2
391,0
392,2
393,1
394,2
395,2
396,1
397,0
398,1
399,0
400,0
401,1
402,0
403,0
404,1
405,0
406,0
407,0
408,1
409,0
410,0
411,1
412,2
413,0
414,2
415,0
416,0
417,0
418,2
419,1
420,2
421,0
422,0
423,0
424,0
425,1
426,0
427,1
428,0
429,1
430,0
431,1
432,0
433,1
434,0
435,1
436,0
437,1
438,0
439,1
440,0
441,1
442,0
443,1
444,0
445,1
446,0
447,1
448,0
449,1
450,2
451,0
452,2
453,0
454,0
455,2
456,0
457,2
458,0
459,0
460,0
461,1
462,0
463,1
464,1
465,1
466,1
467,1
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,2
477,2
478,0
479,2
480,2
481,2
482,1
483,2
484,1
485,2
486,1
487,1
488,0
489,2
490,0
491,2
492,2
493,0
494,2
495,1
496,2
497,1
498,2
499,1
500,2
501,1
502,0
503,0
504,2
505,2
506,0
507,2
508,0
509,2
510,0
511,2
512,2
513,0
514,0
515,0
516,2
517,0
518,2
519,2
520,0
521,2
522,2
523,0
524,2
525,2
526,0
527,0
528,2
529,2
530,2
531,0
532,2
533,1
534,2
535,1
536,2
537,1
538,2
539,1
540,2
541,1
542,2
543,1
544,2
545,0
546,2
547,0
548,2
549,2
550,0
551,2
552,1
553,2
554,1
555,2
556,1
557,2
558,1
559,2
560,1
561,2
562,1
563,0
564,0
565,2
566,1
567,1
568,1
569,1
570,2
571,1
572,2
573,1
574,0
575,2
576,1
577,0
578,2
579,1
580,2
581,2
582,2
583,2
584,0
585,2
586,0
587,2
588,2
589,2
590,0
591,2
592,0
593,2
594,0
595,2
596,0
597,2
598,2
599,2
600,2
601,2
602,2
603,2
604,2
605,2
606,2
607,0
608,0
609,2
610,2
611,2
612,0
613,2
614,2
615,2
616,2
617,2
618,2
619,2
620,2
621,2
622,0
623,2
624,0
625,2
626,0
627,2
628,2
629,2
630,2
631,2
632,2
633,2
634,2
635,2
636,2
637,0
638,0
639,2
640,2
641,2
642,0
643,2
644,2
645,2
646,2
647,2
648,2
649,2
650,2
651,2
652,0
653,0
654,0
655,2
656,0
657,2
658,2
659,2
660,2
661,2
662,2
663,0
664,2
665,2
666,0
667,2
668,2
669,0
670,2
671,2
672,2
673,2
674,2
675,2
676,0
677,2
678,2
679,0
680,2
681,0
682,2
683,2
684,0
685,2
686,2
687,2
688,2
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,2
699,0
700,0
701,0
702,2
703,2
704,0
705,2
706,1
707,1
708,1
709,1
710,1
711,2
712,0
713,2
714,1
715,1
716,1
717,1
718,1
719,2
720,0
721,2
722,1
723,1
724,1
725,1
726,1
727,2
728,0
729,2
730,1
731,1
732,1
733,1
734,1
735,1
736,2
737,2
738,2
739,0
740,1
741,2
742,2
743,0
744,2
745,1
746,2
747,2
748,2
749,0
750,1
751,2
752,2
753,0
754,2
755,0
756,0
757,1
758,1
759,1
760,1
761,1
762,1
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,2
773,0
774,2
775,0
776,0
777,2
778,0
779,2
780,2
781,0
782,2
783,2
784,0
785,2
786,2
787,0
788,2
789,2
790,0
791,2
792,0
793,2
794,0
795,2
796,2
797,0
798,0
799,2
800,2
801,2
802,2
803,2
804,0
805,2
806,2
807,0
808,2
809,0
810,0
811,2
812,2
813,0
814,2
815,2
816,2
817,2
818,0
819,0
820,2
821,0
822,2
823,0
824,2
825,2
826,2
827,0
828,2
829,2
830,2
831,0
832,2
833,0
834,0
835,1
836,2
837,1
838,1
839,0
840,1
841,0
842,1
843,1
844,1
845,0
846,1
847,0
848,1
849,1
850,1
851,0
852,1
853,0
854,1
855,1
856,1
857,0
858,1
859,0
860,1
861,1
862,1
863,0
864,1
865,0
866,1
867,1
868,2
869,1
870,1
871,2
872,2
873,2
874,2
875,2
876,2
877,0
878,2
879,0
880,2
881,2
882,0
883,2
884,2
885,0
886,2
887,0
888,2
889,0
890,0
891,2
892,2
893,1
894,2
895,1
896,0
897,0
898,1
899,0
900,2
901,1
902,2
903,0
904,2
905,2
906,2
907,2
908,2
909,2
910,2
911,2
912,2
913,2
914,0
915,0
916,2
917,2
918,2
919,0
920,2
921,2
922,2
923,2
924,2
925,2
926,2
927,2
928,2
929,0
930,2
931,0
932,2
933,0
934,2
935,2
936,2
937,2
938,2
939,2
940,2
941,2
942,2
943,2
944,0
945,0
946,2
947,2
948,2
949,0
950,2
951,2
952,2
953,2
954,2
955,2
956,2
957,2
958,2
959,0
960,0
961,2
962,0
963,0
964,2
965,2
966,2
967,2
968,2
969,2
970,0
971,2
972,2
973,0
974,2
975,2
976,0
977,2
978,2
979,2
980,2
981,2
982,2
983,0
984,2
985,2
986,0
987,0
988,2
989,2
990,2
991,2
992,0
993,2
994,2
995,0
996,2
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,1
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,1
1023,1
1024,1
1025,0
1026,1
1027,0
1028,0
1029,0
1030,0
