コンボ数,ノーツ
1,0
2,2
3,0
4,0
5,2
6,0
7,0
8,0
9,2
10,0
11,0
12,2
13,0
14,0
15,0
16,2
17,0
18,0
19,2
20,0
21,0
22,0
23,0
24,0
25,2
26,0
27,0
28,2
29,2
30,0
31,2
32,2
33,2
34,2
35,2
36,0
37,1
38,1
39,0
40,0
41,1
42,1
43,1
44,2
45,1
46,2
47,0
48,0
49,2
50,2
51,2
52,2
53,2
54,0
55,2
56,0
57,2
58,0
59,0
60,0
61,2
62,0
63,0
64,0
65,0
66,2
67,2
68,2
69,2
70,2
71,0
72,2
73,1
74,1
75,0
76,0
77,1
78,1
79,2
80,1
81,1
82,2
83,0
84,0
85,2
86,0
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,0
100,0
101,2
102,0
103,0
104,2
105,2
106,2
107,2
108,2
109,0
110,2
111,0
112,0
113,0
114,0
115,0
116,2
117,0
118,2
119,0
120,0
121,0
122,2
123,0
124,2
125,2
126,2
127,2
128,2
129,0
130,0
131,0
132,2
133,0
134,2
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,2
143,0
144,2
145,2
146,2
147,2
148,2
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,2
158,0
159,2
160,0
161,0
162,0
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,0
176,0
177,1
178,1
179,1
180,0
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,0
189,0
190,0
191,0
192,1
193,1
194,1
195,2
196,2
197,0
198,0
199,0
200,0
201,0
202,0
203,2
204,2
205,0
206,0
207,0
208,0
209,0
210,2
211,2
212,0
213,0
214,0
215,0
216,0
217,0
218,2
219,0
220,2
221,0
222,0
223,1
224,1
225,1
226,0
227,2
228,0
229,2
230,0
231,0
232,0
233,0
234,0
235,2
236,2
237,0
238,0
239,0
240,0
241,1
242,1
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,1
258,1
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,2
289,0
290,2
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,1
316,1
317,1
318,0
319,1
320,1
321,1
322,0
323,1
324,1
325,1
326,0
327,1
328,1
329,1
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,2
339,1
340,1
341,1
342,2
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,2
358,2
359,2
360,2
361,1
362,1
363,1
364,0
365,0
366,0
367,0
368,0
369,2
370,1
371,1
372,1
373,2
374,0
375,0
376,0
377,2
378,0
379,2
380,2
381,0
382,2
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,2
396,0
397,2
398,0
399,0
400,0
401,0
402,0
403,0
404,2
405,0
406,2
407,2
408,0
409,2
410,0
411,2
412,2
413,0
414,0
415,0
416,0
417,0
418,0
419,2
420,0
421,2
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,2
443,0
444,2
445,0
446,1
447,1
448,1
449,0
450,1
451,1
452,1
453,0
454,1
455,1
456,1
457,0
458,0
459,1
460,1
461,1
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,2
481,2
482,0
483,0
484,0
485,2
486,2
487,0
488,0
489,0
490,2
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,0
502,2
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,2
524,2
525,2
526,2
527,2
528,2
529,2
530,0
531,2
532,0
533,0
534,2
535,2
536,2
537,2
538,2
539,2
540,2
541,0
542,2
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,2
561,2
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,2
572,2
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,2
594,0
595,2
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,2
650,2
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,0
665,1
666,0
667,1
668,0
669,0
670,1
671,0
672,1
673,0
674,0
675,1
676,0
677,1
678,0
679,0
680,1
681,0
682,1
683,0
684,0
685,0
686,0
687,1
688,0
689,1
690,0
691,1
692,1
693,0
694,0
695,0
696,0
697,0
698,0
699,1
700,1
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,2
715,2
716,0
717,0
718,0
719,0
720,0
721,2
722,0
723,2
724,0
725,0
726,0
727,2
728,0
729,2
730,0
731,0
732,0
733,0
734,0
735,0
736,2
737,2
738,2
739,2
740,2
741,2
742,2
743,2
744,2
745,0
746,2
747,0
748,1
749,1
750,0
751,0
752,0
753,1
754,0
755,1
756,0
757,0
758,1
759,1
760,0
761,1
762,0
763,0
764,1
765,1
766,0
767,1
768,0
769,0
770,1
771,1
772,0
773,1
774,0
775,0
776,2
777,0
778,2
779,0
780,1
781,1
782,0
783,1
784,0
785,0
786,0
787,0
788,0
789,2
790,2
791,2
792,2
793,2
794,2
795,2
796,2
797,0
798,0
799,0
800,2
801,2
802,2
803,2
804,2
805,2
806,2
807,2
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,2
819,0
820,2
821,0
822,0
823,0
824,0
825,0
826,0
827,2
828,0
829,2
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,2
842,0
843,2
844,0
845,0
846,2
847,2
848,2
849,2
850,0
851,0
852,2
853,2
854,2
855,2
856,0
857,0
858,2
859,0
860,2
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,1
875,1
876,1
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,1
885,1
886,1
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,1
897,0
898,1
899,1
900,0
901,0
902,0
903,0
904,0
905,0
906,1
907,1
908,1
909,1
910,1
911,1
912,2
913,1
914,2
915,2
916,2
917,2
918,2
919,0
920,1
921,1
922,1
923,1
924,1
925,1
926,2
927,1
928,2
929,2
930,2
931,2
932,2
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,2
947,0
948,2
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,2
974,0
975,2
976,0
977,0
978,0
979,0
980,2
981,0
982,2
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,2
992,2
993,2
994,2
995,0
996,0
997,0
998,0
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,1
1027,1
1028,1
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,1
1036,1
1037,0
1038,1
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
